Timestamp, Temperature[�C], Humidity[%]
2023_07_18_10_45_36, 26.15, 63.17
2023_07_18_10_45_38, 26.16, 63.19
2023_07_18_10_45_40, 26.15, 63.26
2023_07_18_10_45_42, 26.14, 63.28
2023_07_18_10_45_44, 26.12, 63.33
2023_07_18_10_45_46, 26.11, 63.39
2023_07_18_10_45_48, 26.12, 63.43
2023_07_18_10_45_50, 26.08, 63.44
2023_07_18_10_45_52, 26.09, 63.49
2023_07_18_10_45_54, 26.05, 63.47
2023_07_18_10_45_56, 26.11, 63.56
2023_07_18_10_45_58, 26.14, 63.52
2023_07_18_10_46_00, 26.12, 63.47
2023_07_18_10_46_02, 26.11, 63.43
2023_07_18_10_46_04, 26.08, 63.23
2023_07_18_10_46_06, 26.14, 63.25
2023_07_18_10_46_08, 26.12, 63.25
2023_07_18_10_46_10, 26.11, 63.23
2023_07_18_10_46_12, 26.15, 63.28
2023_07_18_10_46_14, 26.16, 63.27
2023_07_18_10_46_16, 26.15, 63.21
2023_07_18_10_46_18, 26.15, 63.15
2023_07_18_10_46_20, 26.18, 63.16
2023_07_18_10_46_22, 26.12, 63.18
2023_07_18_10_46_24, 26.14, 63.18
2023_07_18_10_46_26, 26.12, 63.21
2023_07_18_10_46_28, 26.15, 63.24
2023_07_18_10_46_31, 26.18, 63.21
2023_07_18_10_46_33, 26.24, 63.19
2023_07_18_10_46_35, 26.28, 63.11
2023_07_18_10_46_37, 26.24, 62.84
2023_07_18_10_46_39, 26.26, 62.62
2023_07_18_10_46_41, 26.26, 62.52
2023_07_18_10_46_43, 26.26, 62.60
2023_07_18_10_46_45, 26.22, 62.77
2023_07_18_10_46_47, 26.22, 62.90
2023_07_18_10_46_49, 26.22, 62.95
2023_07_18_10_46_51, 26.24, 63.02
2023_07_18_10_46_53, 26.21, 62.99
2023_07_18_10_46_55, 26.19, 63.04
2023_07_18_10_46_57, 26.21, 63.10
2023_07_18_10_46_59, 26.19, 63.16
2023_07_18_10_47_01, 26.18, 63.15
2023_07_18_10_47_03, 26.15, 63.16
2023_07_18_10_47_05, 26.16, 63.22
2023_07_18_10_47_07, 26.15, 63.26
2023_07_18_10_47_09, 26.14, 63.24
2023_07_18_10_47_11, 26.15, 63.31
2023_07_18_10_47_13, 26.12, 63.35
2023_07_18_10_47_15, 26.12, 63.34
2023_07_18_10_47_17, 26.09, 63.38
2023_07_18_10_47_19, 26.11, 63.38
2023_07_18_10_47_21, 26.12, 63.45
2023_07_18_10_47_23, 26.11, 63.44
2023_07_18_10_47_25, 26.11, 63.42
2023_07_18_10_47_27, 26.12, 63.45
2023_07_18_10_47_29, 26.12, 63.41
2023_07_18_10_47_31, 26.19, 63.40
2023_07_18_10_47_33, 26.18, 63.29
2023_07_18_10_47_35, 26.19, 63.22
2023_07_18_10_47_37, 26.16, 63.16
2023_07_18_10_47_39, 26.14, 63.12
2023_07_18_10_47_41, 26.14, 63.14
2023_07_18_10_47_43, 26.08, 63.16
2023_07_18_10_47_45, 26.04, 63.22
2023_07_18_10_47_47, 26.02, 63.29
2023_07_18_10_47_50, 25.99, 63.42
2023_07_18_10_47_52, 26.01, 63.53
2023_07_18_10_47_54, 26.06, 63.64
2023_07_18_10_47_56, 26.09, 64.10
2023_07_18_10_47_58, 26.09, 63.82
2023_07_18_10_48_00, 26.08, 63.53
2023_07_18_10_48_02, 26.04, 63.43
2023_07_18_10_48_04, 26.04, 63.41
2023_07_18_10_48_06, 26.02, 63.43
2023_07_18_10_48_08, 26.04, 63.51
2023_07_18_10_48_10, 26.04, 63.52
2023_07_18_10_48_12, 26.06, 63.59
2023_07_18_10_48_14, 26.08, 63.53
2023_07_18_10_48_16, 26.12, 63.55
2023_07_18_10_48_18, 26.15, 63.48
2023_07_18_10_48_20, 26.16, 63.45
2023_07_18_10_48_22, 26.14, 63.38
2023_07_18_10_48_24, 26.11, 63.32
2023_07_18_10_48_26, 26.08, 63.35
2023_07_18_10_48_28, 26.08, 63.42
2023_07_18_10_48_30, 26.14, 63.50
2023_07_18_10_48_32, 26.15, 63.51
2023_07_18_10_48_34, 26.14, 63.51
2023_07_18_10_48_36, 26.14, 63.44
2023_07_18_10_48_38, 26.16, 63.47
2023_07_18_10_48_40, 26.19, 63.46
2023_07_18_10_48_42, 26.18, 63.40
2023_07_18_10_48_44, 26.21, 63.32
2023_07_18_10_48_46, 26.15, 63.26
2023_07_18_10_48_48, 26.16, 63.27
2023_07_18_10_48_50, 26.16, 63.30
2023_07_18_10_48_52, 26.14, 63.34
2023_07_18_10_48_54, 26.15, 63.36
2023_07_18_10_48_56, 26.12, 63.40
2023_07_18_10_48_58, 26.14, 63.49
2023_07_18_10_49_01, 26.14, 63.48
2023_07_18_10_49_03, 26.14, 63.50
2023_07_18_10_49_05, 26.12, 63.55
2023_07_18_10_49_07, 26.14, 63.51
2023_07_18_10_49_09, 26.12, 63.51
2023_07_18_10_49_11, 26.15, 63.57
2023_07_18_10_49_13, 26.18, 64.00
2023_07_18_10_49_15, 26.15, 63.93
2023_07_18_10_49_17, 26.16, 63.76
2023_07_18_10_49_19, 26.15, 63.68
2023_07_18_10_49_21, 26.18, 63.65
2023_07_18_10_49_23, 26.21, 63.60
2023_07_18_10_49_25, 26.21, 63.57
2023_07_18_10_49_27, 26.18, 63.49
2023_07_18_10_49_29, 26.18, 63.46
2023_07_18_10_49_31, 26.19, 63.47
2023_07_18_10_49_33, 26.16, 63.43
2023_07_18_10_49_35, 26.14, 63.48
2023_07_18_10_49_37, 26.18, 63.51
2023_07_18_10_49_39, 26.22, 63.52
2023_07_18_10_49_41, 26.22, 63.48
2023_07_18_10_49_43, 26.18, 63.44
2023_07_18_10_49_45, 26.19, 63.39
2023_07_18_10_49_47, 26.22, 63.41
2023_07_18_10_49_49, 26.21, 63.41
2023_07_18_10_49_51, 26.19, 63.39
2023_07_18_10_49_53, 26.19, 63.40
2023_07_18_10_49_55, 26.18, 63.37
2023_07_18_10_49_57, 26.18, 63.43
2023_07_18_10_49_59, 26.15, 63.42
2023_07_18_10_50_01, 26.16, 63.46
2023_07_18_10_50_03, 26.18, 63.43
2023_07_18_10_50_05, 26.21, 63.41
2023_07_18_10_50_07, 26.18, 63.40
2023_07_18_10_50_09, 26.18, 63.40
2023_07_18_10_50_11, 26.21, 63.39
2023_07_18_10_50_13, 26.19, 63.39
2023_07_18_10_50_15, 26.18, 63.46
2023_07_18_10_50_17, 26.15, 63.47
2023_07_18_10_50_19, 26.18, 63.49
2023_07_18_10_50_22, 26.22, 63.47
2023_07_18_10_50_24, 26.24, 63.46
2023_07_18_10_50_26, 26.26, 63.35
2023_07_18_10_50_28, 26.26, 63.32
2023_07_18_10_50_30, 26.22, 63.29
2023_07_18_10_50_32, 26.19, 63.27
2023_07_18_10_50_34, 26.14, 63.31
2023_07_18_10_50_36, 26.14, 63.41
2023_07_18_10_50_38, 26.06, 63.51
2023_07_18_10_50_40, 26.06, 63.62
2023_07_18_10_50_42, 26.04, 63.76
2023_07_18_10_50_44, 26.02, 63.76
2023_07_18_10_50_46, 26.02, 63.83
2023_07_18_10_50_48, 26.01, 63.86
2023_07_18_10_50_50, 25.98, 63.92
2023_07_18_10_50_52, 25.95, 63.96
